76ers,Bucks,Bulls,Cavaliers,Celtics,Clippers,Grizzlies,Hawks,Heat,Hornets,Jazz,Kings,Knicks,Lakers,Magic,Mavericks,Nets,Nuggets,Pacers,Pelicans,Pistons,Raptors,Rockets,Spurs,Suns,Thunder,Timberwolves,Trail Blazers,Warriors,Wizards
51,45,29,43,69,55,25,40,42,16,29,45,52,40,44,49,33,58,54,45,15,30,36,19,48,54,57,19,39,11
60,45,35,39,74,52,19,40,44,21,24,38,59,42,53,36,30,50,34,50,26,20,45,13,46,59,61,16,43,18
64,44,24,51,60,61,22,35,36,15,19,39,50,46,50,53,32,55,50,49,18,32,36,21,41,57,52,19,44,17
54,46,30,46,69,61,27,34,42,17,28,40,56,33,40,45,31,63,43,43,19,28,44,18,43,56,63,16,38,19
60,45,25,44,65,55,24,37,37,12,20,43,57,42,48,46,33,58,38,44,19,34,33,19,45,56,60,24,51,18
53,50,28,46,63,59,28,38,40,13,22,35,51,36,45,46,39,61,51,44,24,28,44,17,51,54,57,17,35,17
53,44,23,40,63,59,30,32,38,19,30,35,55,45,56,38,30,62,43,47,20,36,39,19,44,60,50,15,44,23
60,53,24,51,66,52,24,27,40,15,29,38,53,32,46,45,32,55,45,50,21,27,36,23,47,63,59,21,37,21
55,52,34,43,63,57,22,34,48,7,28,38,47,44,48,44,32,49,35,50,22,39,38,23,49,63,55,18,41,14
61,44,31,41,65,62,25,42,43,17,19,33,59,38,45,41,34,57,47,48,16,31,33,22,41,60,55,20,37,25
63,47,32,40,62,53,25,35,47,16,19,40,52,43,50,34,33,58,41,50,21,32,41,20,50,54,59,19,39,17
56,46,28,42,68,52,20,32,40,19,25,38,53,43,52,43,34,56,46,46,24,31,36,15,43,57,59,25,49,14
60,44,20,49,67,57,21,41,37,20,26,31,47,41,51,51,35,57,41,47,24,22,42,13,42,61,53,19,47,26
64,50,28,47,70,57,23,40,37,22,23,36,54,40,45,43,43,47,36,50,17,31,38,24,38,59,56,17,40,17
60,45,35,48,65,65,18,39,48,11,27,37,49,36,49,38,25,54,41,44,19,29,45,16,50,57,59,26,42,15
62,46,34,46,61,60,19,40,40,21,24,36,48,30,41,49,33,59,43,52,18,29,33,19,55,54,45,25,47,23
58,48,28,46,63,59,23,37,35,14,28,36,52,36,52,47,48,50,40,54,21,25,32,23,42,59,50,28,37,21
59,52,25,42,69,51,29,40,33,21,18,40,54,38,47,47,40,51,42,44,13,31,40,16,44,57,64,15,49,21
59,46,27,44,68,60,13,40,40,15,31,36,51,42,55,47,31,50,41,50,21,32,46,23,47,55,50,15,44,13
63,45,24,46,65,60,25,31,37,18,21,35,48,42,48,42,36,61,45,53,16,32,39,17,47,53,58,19,43,23
55,52,31,46,66,53,22,37,40,12,19,34,57,33,49,49,35,60,37,41,18,32,42,22,38,56,57,22,57,20
60,52,38,50,63,52,23,32,44,17,23,41,50,30,43,42,21,57,47,50,20,32,35,16,49,55,61,18,50,21
55,50,25,44,65,60,20,33,41,21,25,40,51,40,47,49,29,65,48,40,18,34,36,18,51,57,52,20,39,19
60,48,39,51,70,50,23,38,36,16,29,34,44,37,49,48,39,56,33,54,20,30,43,14,43,61,53,16,35,23
64,46,31,50,71,56,18,39,33,15,32,39,45,38,51,46,28,57,42,40,20,34,41,17,50,59,54,15,43,18
62,39,32,48,66,53,20,50,42,20,33,41,45,37,43,38,34,51,50,46,23,27,31,22,45,65,56,18,38,17
57,49,32,39,62,53,21,33,45,25,20,40,50,32,47,50,37,53,51,39,23,30,38,18,45,63,55,22,42,21
63,45,25,43,63,52,30,41,35,20,21,46,51,32,51,47,38,49,43,48,23,38,38,18,43,56,54,17,37,25
50,49,28,48,69,57,26,29,33,20,25,42,57,29,49,44,31,64,41,44,14,32,39,20,46,57,52,25,49,23
63,48,25,36,65,55,29,31,40,14,23,47,52,37,44,52,40,58,49,47,21,33,45,17,31,60,60,16,38,16
58,45,27,46,70,48,19,36,36,17,16,40,48,42,50,40,28,55,48,53,28,42,38,21,47,60,55,18,46,15
62,49,34,43,63,57,27,37,33,21,25,33,53,38,53,48,39,49,48,47,20,21,33,16,48,57,58,15,49,16
61,49,24,45,69,60,20,36,40,16,25,34,57,42,41,41,37,56,42,45,23,33,34,19,46,61,55,23,38,20
61,48,29,42,61,52,19,28,38,20,24,40,51,36,48,48,37,55,49,55,21,28,37,11,52,60,58,19,42,23
61,52,27,50,59,56,26,40,32,14,29,35,58,31,47,43,31,59,48,45,18,31,37,12,45,56,58,20,49,23
60,48,35,43,60,54,18,32,41,14,25,40,52,33,51,44,39,61,44,51,18,28,36,20,44,61,55,20,41,24
64,44,21,42,59,58,21,38,33,16,26,44,49,43,50,47,38,52,56,53,21,34,38,20,43,57,58,18,35,14
60,40,25,44,66,53,18,33,30,17,28,42,58,35,47,41,34,61,43,47,24,31,44,23,51,59,61,15,41,21
55,41,33,49,64,56,14,39,40,21,26,32,53,43,47,45,36,54,47,47,16,35,36,14,45,64,58,15,46,21
51,55,37,41,61,55,19,40,42,20,28,37,59,35,49,43,32,55,36,49,16,34,45,19,44,51,60,17,36,26
61,54,26,41,65,57,16,35,41,24,23,31,49,36,48,48,43,60,41,54,28,26,37,13,46,56,55,14,49,15
56,51,27,45,67,53,23,37,41,21,18,35,51,33,47,46,35,47,54,49,14,33,45,16,52,59,59,18,39,21
57,46,41,33,65,58,18,38,33,17,22,42,60,38,48,46,33,61,47,50,26,26,41,15,49,57,52,17,39,17
55,58,26,42,70,54,21,37,40,19,25,41,53,36,42,46,31,58,46,46,13,37,35,18,40,57,63,19,42,22
62,51,28,37,66,62,22,38,44,11,24,38,57,37,52,43,32,53,50,47,12,41,37,18,41,56,54,20,38,21
62,54,32,39,64,49,16,32,36,16,25,41,55,29,52,50,28,59,49,59,21,31,38,15,41,62,51,25,44,17
54,46,30,45,60,48,30,36,40,19,24,44,58,37,45,44,38,57,40,45,17,28,46,15,47,60,53,19,45,22
56,43,28,39,67,56,20,45,32,20,22,37,51,33,41,49,34,56,50,54,23,43,31,21,52,60,52,12,42,23
56,52,28,50,63,57,28,35,44,17,23,43,49,40,54,40,35,54,47,45,21,29,32,12,49,65,52,13,37,22
65,45,29,48,60,56,26,31,45,19,22,37,48,29,50,45,34,54,41,46,17,34,40,21,45,68,58,23,41,15
50,49,29,43,61,55,24,30,39,20,26,42,51,42,41,47,37,57,46,46,22,30,40,22,48,62,53,21,42,17
57,50,29,47,62,54,19,32,40,16,30,39,52,29,47,50,31,56,45,49,23,30,41,16,42,60,58,20,46,22
55,43,25,40,61,58,20,38,38,13,28,45,54,33,50,46,38,59,45,52,16,29,39,13,44,59,65,20,41,25
58,47,27,43,60,50,15,38,38,15,33,41,46,37,51,36,41,56,51,50,17,32,42,19,52,64,50,21,40,22
56,50,37,48,67,56,17,37,37,14,22,37,52,37,40,44,32,62,49,53,16,38,34,19,45,58,60,15,37,23
58,54,33,43,69,58,21,33,40,16,28,41,54,34,41,48,35,63,43,38,17,34,31,18,41,56,59,19,46,21
54,47,20,40,69,55,24,44,38,24,21,44,54,37,38,47,41,56,40,56,20,29,36,14,50,56,55,23,41,19
67,46,27,43,64,54,23,36,36,19,23,40,57,33,47,39,33,62,41,45,24,32,31,19,41,66,55,21,56,12
61,48,34,37,60,56,18,38,42,19,26,40,53,36,52,41,34,55,48,42,16,34,42,20,45,56,55,16,47,21
59,49,25,39,60,60,20,34,45,23,21,41,50,31,42,53,32,60,41,48,22,34,39,22,46,58,56,18,40,24
54,48,34,50,62,56,25,30,37,20,27,41,48,40,44,42,29,53,47,53,20,32,44,20,49,57,53,16,45,16
60,44,30,46,66,51,24,44,31,14,23,40,63,38,38,50,36,53,43,50,22,23,39,15,48,56,55,21,47,22
57,51,29,48,63,59,16,37,40,17,21,37,56,34,51,43,41,54,44,52,25,31,35,15,42,53,62,20,39,20
57,48,39,49,65,60,23,37,33,12,27,39,53,35,47,50,35,57,52,50,14,23,36,16,51,61,58,16,33,16
61,51,27,41,66,55,23,34,44,17,28,33,49,43,52,52,34,58,41,47,28,30,26,18,50,58,56,16,38,16
63,47,43,50,73,54,19,46,36,15,23,37,50,36,45,39,35,54,49,39,17,27,39,21,47,57,50,16,48,17
62,50,33,39,63,62,24,32,41,16,15,29,54,34,49,51,36,57,49,47,24,25,42,18,42,63,50,18,39,28
61,50,30,40,61,56,17,44,40,19,24,33,55,34,41,51,27,57,41,51,15,32,41,20,50,60,55,11,47,29
62,44,35,44,61,55,16,37,38,20,27,38,57,35,50,46,35,57,41,52,18,27,30,21,42,59,61,19,44,21
61,49,25,47,65,56,20,38,37,17,23,35,58,38,53,36,32,55,35,49,27,32,47,19,48,56,61,17,38,18
60,58,35,48,64,60,26,36,41,15,22,37,49,35,44,41,32,58,35,42,20,33,33,20,40,57,59,21,50,21
58,46,24,43,64,54,29,38,44,15,22,34,57,41,52,53,31,55,44,49,22,32,32,14,44,59,59,18,42,17
58,42,33,38,62,53,22,36,39,22,30,36,49,48,46,50,32,57,45,50,23,34,37,14,51,58,53,18,35,21
61,48,36,35,67,53,21,42,32,15,28,35,53,38,46,37,43,57,43,56,18,30,36,13,51,61,54,26,40,17
60,44,25,42,68,50,24,43,39,22,26,35,54,34,49,44,36,60,45,41,22,29,45,13,44,61,63,18,39,17
50,48,29,38,59,55,24,35,43,15,32,40,50,33,52,53,33,56,41,46,21,36,33,17,56,53,62,19,38,25
59,40,33,43,64,55,23,37,38,29,29,37,53,34,51,44,32,55,36,51,17,33,37,17,42,65,58,16,38,26
63,49,34,44,67,51,23,29,42,12,33,35,49,38,48,49,45,53,43,49,17,27,37,17,44,52,61,20,49,12
59,43,27,45,66,55,23,35,34,14,32,36,55,30,51,43,31,57,42,52,20,30,43,18,51,57,54,19,43,27
56,43,31,43,61,63,24,42,34,15,34,39,52,30,49,48,39,56,44,43,23,29,40,17,51,49,54,16,48,19
63,52,30,41,62,56,15,32,27,15,25,34,60,33,49,43,29,59,42,45,18,43,42,19,51,60,59,18,49,21
55,57,29,40,51,56,22,34,42,17,21,43,53,33,46,44,38,58,43,50,22,38,41,15,49,61,65,16,34,19
60,44,29,40,68,63,25,29,41,14,26,32,58,35,50,52,34,58,44,41,21,32,43,18,36,64,60,18,43,14
67,41,28,39,66,52,20,44,36,17,25,43,58,27,45,39,32,61,46,48,23,26,48,16,50,59,58,20,39,19
59,56,34,41,67,54,23,36,39,14,30,45,51,43,43,40,30,52,45,46,20,32,36,12,47,61,59,13,43,21
61,49,26,45,65,60,25,35,34,17,23,43,55,43,48,44,41,54,46,42,22,33,35,15,51,55,56,17,37,15
60,45,29,46,63,59,24,37,37,18,23,37,49,36,46,43,37,54,54,48,27,30,40,16,48,57,51,21,41,16
62,41,29,44,64,60,23,40,40,16,20,26,49,36,49,52,42,61,35,41,28,32,42,19,43,59,55,21,45,18
59,46,29,45,60,51,18,40,47,12,31,43,44,38,39,43,40,64,46,48,24,36,35,20,47,59,55,15,45,13
55,43,33,52,63,59,18,43,36,20,27,44,43,31,50,47,42,53,43,42,20,27,42,16,41,60,56,25,35,26
62,47,31,47,59,64,23,30,38,19,27,32,54,37,54,46,30,58,43,42,17,31,38,21,49,65,59,13,42,14
64,58,30,37,60,61,26,33,40,17,29,34,46,33,49,46,31,59,48,41,20,31,41,15,49,55,58,17,46,18
63,48,30,42,60,54,21,36,43,17,28,41,52,32,38,53,33,53,42,41,17,34,37,22,51,56,69,17,44,18
63,52,31,41,61,54,22,34,33,26,31,32,50,36,40,51,31,55,48,49,19,28,41,19,47,58,56,19,44,21
62,32,27,51,68,59,17,34,39,16,28,39,63,30,44,49,38,54,49,41,16,36,38,21,43,52,58,22,45,21
54,46,27,38,62,59,20,35,42,19,31,42,57,36,43,38,30,58,50,45,26,40,44,11,43,57,59,18,40,22
60,50,27,38,65,57,25,40,32,14,29,36,50,37,45,47,32,58,43,47,18,38,40,16,47,60,58,21,37,25
54,44,31,40,64,58,17,37,39,21,18,42,62,34,48,42,45,53,43,54,16,34,34,22,49,54,54,27,39,17
56,47,32,49,62,50,26,32,38,19,18,40,56,40,52,50,35,61,40,50,17,33,39,15,47,57,53,19,39,20
58,50,37,39,63,60,22,44,34,20,21,33,56,45,47,42,32,58,50,43,16,29,40,17,46,57,55,20,39,19
52,44,35,44,67,48,24,36,37,19,24,42,57,36,56,45,30,49,41,46,19,42,37,16,49,61,55,22,46,13
60,55,27,48,66,57,28,35,41,14,21,37,57,37,34,39,26,60,51,43,22,30,36,24,47,56,58,25,39,19
63,52,32,43,60,62,16,38,45,14,29,48,51,34,39,48,32,47,44,45,22,31,39,20,48,56,58,17,38,21
57,48,21,48,60,53,16,36,44,17,26,44,49,34,50,46,42,55,43,47,15,35,46,17,46,51,60,23,42,21
60,45,31,42,64,51,27,32,33,7,13,34,52,39,52,42,39,51,52,49,25,35,50,25,59,56,54,19,37,17
62,50,24,52,60,54,21,46,34,19,27,31,52,36,40,48,35,57,47,52,20,34,38,16,43,63,54,19,40,18
61,51,32,46,64,53,22,33,30,16,20,32,51,38,51,50,36,60,44,44,21,28,44,26,53,58,53,16,40,19
61,50,27,39,63,57,22,37,35,15,26,38,53,38,54,40,32,56,44,53,18,38,41,22,48,59,54,17,39,16
57,49,30,43,64,57,22,37,37,13,30,38,52,42,51,40,41,59,44,55,20,27,29,19,40,64,58,16,42,16
60,43,37,38,71,53,18,36,40,21,27,36,57,38,51,42,28,54,44,46,16,26,30,22,54,58,60,20,45,21
59,42,25,57,62,59,20,32,48,19,23,41,53,33,44,44,47,52,40,49,21,26,41,17,47,51,53,22,45,20
64,46,31,40,67,58,22,37,40,15,27,44,50,41,44,42,28,55,49,49,20,35,39,16,37,60,61,14,41,20
62,40,31,49,61,53,20,38,31,15,26,40,47,39,44,49,42,54,40,52,20,30,41,18,45,56,57,23,45,24
54,51,31,40,59,56,23,44,38,18,19,38,55,36,51,51,35,53,41,52,24,30,43,17,45,56,49,20,51,12
59,47,34,44,67,46,23,36,46,23,26,44,46,30,45,44,30,53,49,54,22,30,49,17,50,49,53,23,36,17
58,44,31,45,67,52,18,42,35,16,23,32,50,40,51,45,43,51,42,55,20,34,39,17,42,53,57,19,49,22
61,43,23,48,69,61,20,37,39,19,25,42,59,42,47,45,37,49,41,44,21,28,40,13,41,57,58,21,43,19
52,46,29,37,67,55,22,39,39,22,24,39,54,29,53,45,35,53,44,50,18,28,35,20,53,60,64,14,42,24
57,46,28,42,64,57,25,48,46,16,22,37,55,31,45,47,32,57,45,47,16,32,37,15,44,58,56,21,46,20
61,43,30,39,68,59,23,33,34,13,31,44,60,38,47,36,37,60,48,37,18,29,40,19,54,62,50,18,42,19
54,47,36,43,62,57,24,35,40,16,27,36,50,33,51,46,35,52,38,59,24,22,47,17,51,60,50,21,36,23
53,38,30,45,60,56,24,42,35,18,30,42,51,44,56,49,29,52,49,48,25,30,32,17,45,55,57,13,42,25
53,50,35,44,62,54,30,37,38,17,25,36,53,48,41,44,33,51,37,47,20,31,38,11,47,64,53,22,48,23
53,55,35,47,66,61,24,39,42,15,24,43,43,35,46,40,40,49,48,48,24,22,39,15,45,58,55,19,43,19
57,55,22,43,59,56,28,38,34,18,22,45,50,33,40,44,34,58,44,54,18,33,39,17,42,59,60,17,49,24
55,49,28,45,66,52,22,36,40,18,27,37,47,40,51,49,35,56,44,52,23,23,39,19,34,56,60,22,45,22
57,49,39,38,66,55,22,35,40,18,19,38,49,36,52,46,35,50,40,55,22,25,36,16,52,53,62,19,46,22
57,48,36,41,63,59,29,35,35,19,24,38,56,32,46,44,36,58,46,49,20,32,30,17,50,54,49,20,47,22
56,54,33,50,63,49,18,30,34,14,27,31,51,43,55,54,31,56,44,50,18,33,39,18,47,58,57,21,39,19
64,50,34,54,64,55,21,32,42,10,23,36,59,34,47,52,36,57,33,44,20,30,36,19,49,60,55,20,42,14
54,52,38,49,56,51,17,42,33,17,26,33,47,38,57,42,30,63,41,51,22,38,37,16,47,56,59,21,43,16
61,51,25,44,65,63,25,39,32,16,23,38,54,38,46,41,39,51,44,47,21,30,45,19,54,50,54,15,41,21
64,56,26,45,58,59,15,39,41,19,19,37,56,39,46,43,36,53,42,54,21,31,39,16,39,62,58,18,41,20
54,44,33,43,64,59,24,32,36,16,22,36,59,29,48,46,38,62,46,44,24,27,38,15,44,63,58,25,44,19
63,42,26,47,66,57,24,36,41,24,29,39,51,35,42,49,38,53,51,50,20,24,38,12,39,60,58,22,34,22
62,44,23,45,61,57,32,37,43,15,24,37,55,34,40,41,42,56,48,48,26,25,47,13,50,54,55,16,40,22
61,54,25,46,60,52,21,34,43,11,18,48,56,32,42,45,41,56,39,45,28,31,41,22,44,55,56,16,41,29
59,49,36,41,63,57,20,34,38,13,24,36,58,31,46,44,36,56,51,50,23,32,35,21,44,56,52,19,50,18
59,51,34,48,67,56,20,32,38,17,21,43,47,36,47,45,35,53,49,48,22,31,37,15,47,57,59,18,36,24
57,49,32,34,61,56,20,39,40,16,24,34,57,34,46,46,32,61,43,56,18,26,47,20,43,60,57,23,38,23
64,41,28,40,68,56,25,35,47,16,26,34,50,37,42,47,40,58,43,49,22,34,35,19,54,52,58,14,36,22
53,43,24,48,65,53,21,36,42,12,25,46,52,41,52,43,32,59,48,45,20,34,34,18,48,46,65,15,50,22
62,48,25,49,63,55,23,33,39,13,23,38,57,37,51,42,29,56,47,40,23,26,39,20,47,61,63,20,43,20
62,40,28,44,63,54,27,31,37,18,31,41,51,34,54,48,37,53,42,50,17,28,35,18,48,50,61,17,52,21
53,51,31,34,69,51,20,41,48,23,27,33,56,34,45,42,36,59,43,51,19,25,46,19,39,61,55,26,38,17
60,43,30,40,62,50,19,40,46,17,24,45,55,33,52,45,34,56,42,58,18,31,34,18,49,54,54,19,48,16
58,52,32,41,63,59,30,36,43,19,27,36,47,41,55,44,30,54,43,40,12,37,42,21,47,55,62,16,32,18
48,45,33,44,61,42,21,36,33,18,25,44,59,38,51,42,38,63,42,45,20,35,35,18,44,61,53,32,44,22
62,54,37,42,67,51,22,41,39,11,26,39,49,33,48,50,29,58,44,49,21,32,36,21,44,54,57,17,39,20
53,49,29,42,63,56,19,37,44,15,27,38,52,37,45,43,41,62,41,52,20,37,33,15,46,58,58,14,49,17
60,50,28,40,63,54,19,36,34,21,23,41,61,33,43,48,33,60,42,51,22,27,43,15,48,57,56,18,46,20
49,46,37,43,69,57,25,31,44,15,27,41,48,33,44,42,34,53,47,47,18,34,42,26,43,59,56,23,41,18
62,48,31,43,65,60,28,40,38,23,27,36,61,27,43,42,35,55,48,53,15,31,36,19,51,56,51,18,30,20
52,43,24,41,65,52,28,34,41,22,20,38,59,45,41,39,42,52,49,48,19,31,45,24,50,60,57,16,35,20
59,52,31,47,66,53,25,34,41,21,25,45,52,38,46,44,37,49,40,42,20,31,38,14,42,64,63,14,43,16
56,48,34,43,62,62,23,33,32,17,20,30,52,36,49,45,33,58,52,54,19,34,46,18,42,63,58,22,33,18
63,44,27,44,66,53,23,37,46,18,30,41,52,33,44,53,38,65,35,38,23,26,28,18,47,58,55,18,48,21
57,46,24,46,58,53,25,30,40,16,23,38,51,40,48,51,35,53,55,43,21,32,39,22,55,65,53,17,38,18
60,41,28,48,67,51,20,36,42,15,30,37,53,36,42,51,34,56,40,49,18,29,41,17,40,56,60,23,51,21
68,42,35,43,68,61,23,43,31,15,24,35,54,35,51,45,41,56,41,43,19,24,40,19,47,57,54,15,46,17
64,46,33,47,65,55,19,39,39,16,22,33,55,36,51,42,40,56,48,46,20,28,41,15,46,54,58,16,43,19
58,54,22,41,63,55,19,35,39,18,30,35,54,43,46,48,35,55,45,54,23,28,40,12,46,56,60,17,42,19
57,52,31,43,65,63,23,39,40,14,18,39,58,35,44,54,31,59,35,50,21,24,38,19,51,52,60,16,43,18
59,46,33,41,70,51,27,37,45,11,25,43,54,38,42,43,42,64,46,47,22,31,41,12,38,57,55,20,38,14
59,38,30,52,63,57,16,35,46,14,23,38,51,34,45,40,39,53,45,62,17,25,31,19,52,57,59,22,51,19
51,48,31,56,61,60,21,36,38,20,24,39,50,35,48,41,32,52,45,43,26,32,36,21,47,57,61,19,41,21
59,45,31,47,61,48,23,41,37,20,29,41,50,39,42,45,37,54,47,49,23,25,41,20,47,57,54,17,41,22
60,51,31,36,68,61,27,39,38,18,22,32,59,45,51,45,29,56,45,46,15,35,38,21,42,54,53,13,42,20
59,46,31,49,69,59,15,36,40,18,17,40,46,35,48,50,31,57,48,47,10,33,48,20,46,55,58,21,41,19
59,47,24,48,62,59,18,38,34,16,25,36,50,34,46,47,41,53,49,48,19,28,42,18,50,60,58,20,42,21
66,52,21,51,60,62,20,32,43,16,31,34,55,44,43,44,31,53,43,50,22,28,35,16,45,55,58,20,43,19
55,54,32,38,70,60,17,34,39,21,30,46,49,46,41,49,34,58,36,46,22,31,35,16,51,55,50,14,43,20
58,45,29,53,67,56,24,39,34,10,29,44,49,44,48,49,34,59,42,44,22,29,33,14,44,56,54,16,44,23
55,51,30,36,63,59,15,35,40,19,26,36,59,36,51,37,33,56,48,57,22,31,42,24,38,53,59,18,45,18
52,48,27,43,66,56,19,40,47,18,27,37,57,34,47,42,34,57,43,51,14,28,40,21,47,63,54,16,36,28
60,45,28,41,61,55,24,38,39,14,29,37,54,34,52,44,38,64,42,56,20,27,36,20,48,59,56,21,27,23
57,42,36,44,63,45,26,39,41,23,25,44,52,36,50,43,38,60,47,50,18,31,35,17,41,61,57,16,38,17
61,46,35,36,70,55,14,37,34,22,24,36,53,39,49,53,35,53,42,51,23,30,39,19,42,55,58,17,43,21
59,53,36,44,60,55,18,31,45,21,23,31,50,35,43,53,42,53,49,47,22,29,29,23,46,56,61,13,47,18
58,42,36,49,62,54,31,35,29,23,21,39,51,36,44,46,29,55,48,48,21,32,36,19,47,68,49,20,44,20
62,42,25,41,61,56,25,36,32,19,30,46,54,37,57,47,46,55,43,54,18,33,36,12,45,53,57,19,31,20
53,53,29,47,63,54,21,42,39,20,18,39,52,35,45,52,33,58,42,43,16,27,49,21,48,57,57,16,42,21
61,44,30,38,63,51,27,45,38,20,24,37,56,33,47,43,33,55,40,41,20,26,42,16,50,62,60,17,46,27
53,46,30,49,69,54,24,39,39,20,30,37,52,32,45,47,30,52,45,47,15,32,42,24,45,55,56,14,43,26
61,49,33,37,60,59,26,32,39,15,21,39,56,38,42,39,31,64,45,45,22,32,40,15,45,60,64,14,48,21
59,43,32,49,68,53,14,37,35,21,28,33,50,37,45,51,30,58,41,43,25,28,36,28,43,64,58,19,46,18
59,43,27,40,68,57,27,39,42,14,25,46,50,45,46,41,37,52,43,45,16,32,32,13,52,61,62,20,34,24
62,40,32,40,66,53,27,49,40,24,27,42,52,35,56,51,37,51,45,41,15,26,30,16,50,59,52,12,48,14
58,48,31,43,69,58,18,40,33,20,24,43,55,41,51,47,37,53,46,52,20,33,42,14,46,49,52,17,37,15
59,43,28,50,68,56,23,41,34,19,27,44,45,34,55,43,38,59,42,53,24,31,37,23,44,51,57,15,32,17
61,50,19,47,63,55,25,29,42,19,23,38,52,32,45,55,41,60,54,51,22,31,28,9,47,58,63,17,40,16
64,44,32,36,62,60,21,32,37,17,21,45,52,43,43,44,37,54,46,47,20,31,41,17,47,60,60,21,35,23
57,40,36,42,70,54,24,35,42,15,26,41,57,36,49,39,36,51,38,43,20,31,49,17,47,61,51,22,47,16
57,47,23,43,63,54,31,39,38,26,20,33,54,28,51,49,32,53,41,42,21,30,35,23,38,63,65,30,43,20
59,47,28,49,62,55,20,41,38,15,21,34,51,45,48,44,32,55,50,40,24,35,36,19,46,60,59,23,35,21
58,44,32,43,68,57,21,39,41,19,25,30,50,32,53,47,43,55,45,45,18,28,47,18,49,61,49,15,43,17
58,44,18,51,68,48,23,46,34,17,25,39,55,38,41,45,32,54,45,51,28,33,40,17,51,60,55,19,38,19
64,46,30,39,63,61,27,36,46,15,25,38,54,31,41,55,34,57,47,42,26,30,40,18,39,56,52,16,42,22
57,39,35,41,66,49,18,38,41,19,30,38,49,41,43,52,33,60,50,54,16,39,32,15,39,66,51,18,45,18
62,45,34,45,66,64,22,46,35,13,26,33,49,37,37,43,37,51,47,50,13,25,33,16,50,56,61,24,48,24
